GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mssc-beer-order-service,com.brewery.model,OrderStatusUpdate,371,0,62,0,15,0,52,0,21,0
mssc-beer-order-service,com.brewery.model,BeerOrderPagedList,10,0,0,0,4,0,2,0,2,0
mssc-beer-order-service,com.brewery.model,BeerOrderDto,458,0,78,0,17,0,64,0,25,0
mssc-beer-order-service,com.brewery.model,BeerOrderDto.BeerOrderDtoBuilder,95,0,0,0,1,0,12,0,12,0
mssc-beer-order-service,com.brewery.model,BeerOrderStatusEnum,124,0,0,0,2,0,1,0,1,0
mssc-beer-order-service,com.brewery.model,OrderStatusUpdate.OrderStatusUpdateBuilder,76,0,0,0,1,0,10,0,10,0
mssc-beer-order-service,com.brewery.model,BeerOrderLineDto,552,0,94,0,19,0,76,0,29,0
mssc-beer-order-service,com.brewery.model,CustomerDto.CustomerDtoBuilder,57,0,0,0,1,0,8,0,8,0
mssc-beer-order-service,com.brewery.model,BeerOrderLineDto.BeerOrderLineDtoBuilder,113,0,0,0,1,0,14,0,14,0
mssc-beer-order-service,com.brewery.model,CustomerDto,284,0,46,0,13,0,40,0,17,0
mssc-beer-order-service,guru.sfg.beer.order.service.services.beer,BeerServiceRestTemplateImpl,27,15,0,0,2,5,2,3,2,3
mssc-beer-order-service,guru.sfg.beer.order.service.services,BeerOrderManagerImpl,296,16,12,0,73,2,26,2,20,2
mssc-beer-order-service,guru.sfg.beer.order.service.services,TastingRoomService,63,50,1,1,16,14,3,3,2,3
mssc-beer-order-service,guru.sfg.beer.order.service.services,BeerOrderServiceImpl,158,19,10,0,37,7,11,2,6,2
mssc-beer-order-service,guru.sfg.beer.order.service.config,JmsConfig,0,15,0,0,0,5,0,2,0,2
mssc-beer-order-service,guru.sfg.beer.order.service.config,TaskConfig,0,7,0,0,0,2,0,2,0,2
mssc-beer-order-service,guru.sfg.beer.order.service.web.controllers,BeerOrderController,43,13,8,0,9,5,8,2,4,2
mssc-beer-order-service,guru.sfg.beer.order.service.sm.actions,DealocateOrderAction,42,16,0,0,10,2,3,2,3,2
mssc-beer-order-service,guru.sfg.beer.order.service.sm.actions,AllocationFailureAction,21,10,0,0,6,2,1,2,1,2
mssc-beer-order-service,guru.sfg.beer.order.service.sm.actions,AllocateOrderAction,24,16,0,0,6,2,1,2,1,2
mssc-beer-order-service,guru.sfg.beer.order.service.sm.actions,ValidationFailureAction,12,7,0,0,3,2,1,2,1,2
mssc-beer-order-service,guru.sfg.beer.order.service.sm.actions,ValidateOrderAction,29,16,0,0,7,2,1,2,1,2
mssc-beer-order-service,guru.sfg.beer.order.service.sm,BeerOrderStateMachineConfig,0,191,0,0,0,53,0,3,0,3
mssc-beer-order-service,guru.sfg.beer.order.service.sm,BeerOrderStateChangeInterceptor,40,10,0,0,9,2,3,2,3,2
mssc-beer-order-service,guru.sfg.beer.order.service.services.beer.model,BeerDto,476,0,86,0,14,0,70,0,27,0
mssc-beer-order-service,guru.sfg.beer.order.service.services.beer.model,BeerDto.BeerDtoBuilder,103,0,0,0,1,0,13,0,13,0
mssc-beer-order-service,guru.sfg.beer.order.service.messaging.model,JmsMessage.JmsMessageBuilder,28,0,0,0,1,0,5,0,5,0
mssc-beer-order-service,guru.sfg.beer.order.service.messaging.model,JmsMessage,129,0,22,0,6,0,22,0,11,0
mssc-beer-order-service,com.brewery.model.events,AllocateOrderResult.AllocateOrderResultBuilder,37,0,0,0,1,0,6,0,6,0
mssc-beer-order-service,com.brewery.model.events,AllocateOrderRequest.AllocateOrderRequestBuilder,19,0,0,0,1,0,4,0,4,0
mssc-beer-order-service,com.brewery.model.events,DeallocateOrderRequest,86,0,14,0,5,0,16,0,9,0
mssc-beer-order-service,com.brewery.model.events,ValidateOrderResult,129,0,22,0,6,0,22,0,11,0
mssc-beer-order-service,com.brewery.model.events,ValidateOrderResult.ValidateOrderResultBuilder,28,0,0,0,1,0,5,0,5,0
mssc-beer-order-service,com.brewery.model.events,ValidateOrderRequest.ValidateOrderRequestBuilder,19,0,0,0,1,0,4,0,4,0
mssc-beer-order-service,com.brewery.model.events,DeallocateOrderRequest.DeallocateOrderRequestBuilder,19,0,0,0,1,0,4,0,4,0
mssc-beer-order-service,com.brewery.model.events,AllocateOrderResult,188,0,30,0,7,0,28,0,13,0
mssc-beer-order-service,com.brewery.model.events,AllocateOrderRequest,86,0,14,0,5,0,16,0,9,0
mssc-beer-order-service,com.brewery.model.events,AllocationFailureEvent,86,0,14,0,5,0,16,0,9,0
mssc-beer-order-service,com.brewery.model.events,ValidateOrderRequest,86,0,14,0,5,0,16,0,9,0
